pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_d_opt_use_mand_18b_yn	pbp_d_opt_use_mand_18b1_yn	pbp_d_opt_use_mand_18b2_yn	pbp_d_opt_use_mand_18b3_yn	pbp_d_opt_use_mand_18b4_yn	pbp_b18b_bendesc_yn	pbp_b18b_bendesc_ehc	pbp_b18b_bendesc_amo_at	pbp_b18b_bendesc_lim_at	pbp_b18b_bendesc_numv_at	pbp_b18b_bendesc_per_at	pbp_b18b_bendesc_per_at_d	pbp_b18b_bendesc_amo_ie	pbp_b18b_bendesc_lim_ie	pbp_b18b_bendesc_numv_ie	pbp_b18b_bendesc_per_ie	pbp_b18b_bendesc_per_ie_d	pbp_b18b_bendesc_amo_oe	pbp_b18b_bendesc_lim_oe	pbp_b18b_bendesc_numv_oe	pbp_b18b_bendesc_per_oe	pbp_b18b_bendesc_per_oe_d	pbp_b18b_bendesc_amo_ote	pbp_b18b_bendesc_lim_ote	pbp_b18b_bendesc_numv_ote	pbp_b18b_bendesc_per_ote	pbp_b18b_bendesc_per_ote_d	pbp_b18b_maxplan_yn	pbp_b18b_maxplan_perear	pbp_b18b_maxplan_type	pbp_b18b_maxplan_in_oon	pbp_b18b_maxplan_amt	pbp_b18b_maxplan_per	pbp_b18b_maxplan_per_d	pbp_b18b_maxenr_yn	pbp_b18b_maxenr_type	pbp_b18b_maxenr_amt	pbp_b18b_maxenr_per	pbp_b18b_maxenr_per_d	pbp_b18b_coins_yn	pbp_b18b_coins_ehc	pbp_b18b_coins_pct_at_min	pbp_b18b_coins_pct_at_max	pbp_b18b_coins_pct_ie_min	pbp_b18b_coins_pct_ie_max	pbp_b18b_coins_pct_oe_min	pbp_b18b_coins_pct_oe_max	pbp_b18b_coins_pct_ote_min	pbp_b18b_coins_pct_ote_max	pbp_b18b_copay_yn	pbp_b18b_copay_ehc	pbp_b18b_copay_at_min_amt	pbp_b18b_copay_at_max_amt	pbp_b18b_copay_amt_per_ie_min	pbp_b18b_copay_amt_per_ie_max	pbp_b18b_copay_amt_p2_ie_min	pbp_b18b_copay_amt_p2_ie_max	pbp_b18b_copay_amt_per_oe_min	pbp_b18b_copay_amt_per_oe_max	pbp_b18b_copay_amt_p2_oe_min	pbp_b18b_copay_amt_p2_oe_max	pbp_b18b_copay_amt_per_ote_min	pbp_b18b_copay_amt_per_ote_max	pbp_b18b_copay_amt_p2_ote_min	pbp_b18b_copay_amt_p2_ote_max	pbp_b18b_ded_yn	pbp_b18b_ded_amt	pbp_b18b_auth_yn	pbp_b18b_refer_yn	pbp_d_opt_identifier
H1230	003	0	1	01	01	H1230_003_0	3						1	0100	3	2	2	1																	1	3	2		1500.00	1		2					2										2																2		1	1	001
H1230	013	0	1	01	01	H1230_013_0	3						1	0100	3	2	2	1																	1	3	2		1500.00	1		2					2										2																2		1	1	001
H1230	014	0	1	01	01	H1230_014_0	3						1	0100	3	2	2	1																	1	3	2		1500.00	1		2					2										2																2		1	1	001
H2172	001	0	1	02	01	H2172_001_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	002	0	1	02	01	H2172_002_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	005	0	1	01	01	H2172_005_0	3	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	008	0	1	02	01	H2172_008_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	009	0	1	02	01	H2172_009_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	010	0	1	02	01	H2172_010_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	013	0	1	02	01	H2172_013_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	014	0	1	02	01	H2172_014_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	020	0	1	02	01	H2172_020_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	021	0	1	02	01	H2172_021_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	022	0	1	02	01	H2172_022_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	023	0	1	02	01	H2172_023_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	024	0	1	02	01	H2172_024_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	025	0	1	01	01	H2172_025_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	026	0	1	01	01	H2172_026_0	5	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H2172	027	0	1	02	01	H2172_027_0	4	2	2				1	0100	3	2	2	1																	1	1	2		1000.00	1		2					2										2																2		1	1	001
H3443	005	0	1	01	01	H3443_005_0	11						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H3815	013	0	1	01	01	H3815_013_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H3815	038	0	1	01	01	H3815_038_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H3815	040	0	1	01	01	H3815_040_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H3815	047	0	1	01	01	H3815_047_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H3815	055	0	1	01	01	H3815_055_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		2	2	001
H3815	056	0	1	01	01	H3815_056_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H3924	059	21	1	04	01	H3924_059_21	3						1	0100	3	1																			1	3	2	2	500.00	3		2					2										2																2		2	2	001
H3924	059	22	1	04	01	H3924_059_22	3						1	0100	3	1																			1	3	2	2	500.00	3		2					2										2																2		2	2	001
H3924	065	0	1	04	01	H3924_065_0	3						1	0100	3	1																			1	3	2	2	500.00	3		2					2										2																2		2	2	001
H5050	001	0	1	01	01	H5050_001_0	3						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	004	0	1	01	01	H5050_004_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	009	0	1	01	01	H5050_009_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	017	0	1	01	01	H5050_017_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	019	0	1	01	01	H5050_019_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	021	0	1	01	01	H5050_021_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	022	0	1	01	01	H5050_022_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	023	0	1	01	01	H5050_023_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	024	0	1	01	01	H5050_024_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	025	0	1	01	01	H5050_025_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	026	0	1	01	01	H5050_026_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	027	0	1	01	01	H5050_027_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	028	0	1	01	01	H5050_028_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	029	0	1	01	01	H5050_029_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	030	0	1	01	01	H5050_030_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	031	0	1	01	01	H5050_031_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5050	032	0	1	01	01	H5050_032_0	4						1	0100	3	1																			1	3	2		4000.00	2		2					2										2																2		2	2	002
H5296	006	0	1	01	01	H5296_006_0	10						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H5296	008	0	1	01	01	H5296_008_0	8						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H5472	003	0	1	02	01	H5472_003_0	10						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H5472	010	0	1	02	01	H5472_010_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
H8764	001	0	1	01	01	H8764_001_0	5						1	0100	3	2	2	3																	2							2					2										1		599.00	899.00													2		2	2	001
H8764	002	0	1	02	01	H8764_002_0	5						1	0100	3	2	2	3																	2							2					2										1		599.00	899.00													2		2	2	001
H8764	003	0	1	01	01	H8764_003_0	6						1	0100	3	2	2	3																	2							2					2										1		599.00	899.00													2		2	2	002
H8764	004	0	1	01	01	H8764_004_0	7						1	0100	3	2	2	3																	2							2					2										1		599.00	899.00													2		2	2	002
H8764	801	0	1	02	01	H8764_801_0	3						1	0100	3	2	2	3																	2							2					2										1		599.00	899.00													2		2	2	001
H8832	001	0	1	04	01	H8832_001_0	7						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	2	001
H9003	001	0	1	02	01	H9003_001_0	4						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		2	2	001
H9003	006	0	1	02	01	H9003_006_0	4						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		2	2	001
H9003	008	0	1	02	01	H9003_008_0	4						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		2	2	001
H9003	009	0	1	02	01	H9003_009_0	4						1	0100	3	2	2	1																	1	1	2		500.00	1		2					2										2																2		2	2	001
H9686	008	0	1	01	01	H9686_008_0	10						1	0100	3	2	2	3																	2							2					2										1		195.00	1750.00													2		1	1	001
