pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b10b_bendesc_yn	pbp_b10b_bendesc_trn	pbp_b10b_bendesc_amo_pal	pbp_b10b_bendesc_lim_pal	pbp_b10b_bendesc_amt_pal	pbp_b10b_bendesc_per_pal	pbp_b10b_bendesc_per_pal_d	pbp_b10b_bendesc_tt_pal	pbp_b10b_bendesc_tt_pal_d	pbp_b10b_bendesc_amt_pal_days	pbp_b10b_bendesc_mt_pal	pbp_b10b_bendesc_mt_pal_d	pbp_b10b_bendesc_amo_al	pbp_b10b_bendesc_lim_al	pbp_b10b_bendesc_amt_al	pbp_b10b_bendesc_per_al	pbp_b10b_bendesc_per_al_d	pbp_b10b_bendesc_tt_al	pbp_b10b_bendesc_tt_al_d	pbp_b10b_bendesc_amt_al_days	pbp_b10b_bendesc_mt_al	pbp_b10b_bendesc_mt_al_d	pbp_b10b_maxplan_yn	pbp_b10b_maxplan_amt	pbp_b10b_maxplan_per	pbp_b10b_maxplan_per_d	pbp_b10b_maxenr_yn	pbp_b10b_maxenr_amt	pbp_b10b_maxenr_per	pbp_b10b_maxenr_per_d	pbp_b10b_coins_yn	pbp_b10b_coins_pct_min	pbp_b10b_coins_pct_max	pbp_b10b_ded_yn	pbp_b10b_ded_amt	pbp_b10b_copay_yn	pbp_b10b_copay_amt_min	pbp_b10b_copay_amt_max	pbp_b10b_auth_yn	pbp_b10b_refer_yn
H1036	300	0	1	01	01	H1036_300_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	301	0	1	01	01	H1036_301_0	3	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	301	0	1	01	01	H1036_301_0	3	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	302	0	1	01	01	H1036_302_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	302	0	1	01	01	H1036_302_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	304	0	1	01	01	H1036_304_0	5	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	305	0	1	01	01	H1036_305_0	3	1	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	310	0	1	01	01	H1036_310_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	311	0	1	01	01	H1036_311_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	312	0	1	01	01	H1036_312_0	6	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	313	0	1	01	01	H1036_313_0	5	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	314	0	1	01	01	H1036_314_0	5	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	315	0	1	01	01	H1036_315_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
H1036	315	0	1	01	01	H1036_315_0	4	1	1	1	2	1				1			011111												2				2				2			2		2			1	2
H1036	316	0	1	01	01	H1036_316_0	4	2	1	1	2	1				1			101010	Car, Wheelchair Access Vehicle											2				2				2			2		2			2	2
